company_id,metric_type,period_years,value_pct,computed_value_pct,divergence_pct,manual_review_flag
HDFCBANK,compounded_profit_growth,3,26.0,27.1236,1.1236,False
HDFCBANK,compounded_profit_growth,5,23.0,23.8651,0.8651,False
HDFCBANK,compounded_profit_growth,10,22.0,22.2639,0.2639,False
HDFCBANK,compounded_sales_growth,3,30.0,30.187,0.187,False
HDFCBANK,compounded_sales_growth,5,22.0,21.951,0.049,False
HDFCBANK,compounded_sales_growth,10,21.0,20.888,0.112,False
HDFCBANK,roe,3,17.0,,,False
HDFCBANK,roe,5,17.0,,,False
HDFCBANK,roe,10,17.0,,,False
HDFCBANK,stock_price_cagr,1,13.0,,,False
HDFCBANK,stock_price_cagr,3,8.0,,,False
HDFCBANK,stock_price_cagr,5,8.0,,,False
HDFCBANK,stock_price_cagr,10,15.0,,,False
INFY,compounded_profit_growth,3,10.0,10.5588,0.5588,False
INFY,compounded_profit_growth,5,11.0,11.2394,0.2394,False
INFY,compounded_profit_growth,10,9.0,9.4335,0.4335,False
INFY,compounded_sales_growth,3,5.0,15.2165,10.2165,True
INFY,compounded_sales_growth,5,13.0,13.1991,0.1991,False
INFY,compounded_sales_growth,10,12.0,11.8527,0.1473,False
INFY,roe,3,31.0,,,False
INFY,roe,5,29.0,,,False
INFY,roe,10,27.0,,,False
INFY,stock_price_cagr,1,27.0,,,False
INFY,stock_price_cagr,3,4.0,,,False
INFY,stock_price_cagr,5,22.0,,,False
INFY,stock_price_cagr,10,15.0,,,False
SBILIFE,compounded_profit_growth,3,9.0,9.1623,0.1623,False
SBILIFE,compounded_profit_growth,5,6.0,7.3747,1.3747,False
SBILIFE,compounded_profit_growth,10,9.0,10.0335,1.0335,False
SBILIFE,compounded_sales_growth,3,17.0,17.2359,0.2359,False
SBILIFE,compounded_sales_growth,5,24.0,24.2316,0.2316,False
SBILIFE,compounded_sales_growth,10,23.0,22.5616,0.4384,False
SBILIFE,roe,3,13.0,,,False
SBILIFE,roe,5,14.0,,,False
SBILIFE,roe,10,16.0,,,False
SBILIFE,stock_price_cagr,3,7.0,,,False
SBILIFE,stock_price_cagr,5,8.0,,,False
SBILIFE,stock_price_cagr,10,9.0,,,False
TCS,compounded_profit_growth,3,12.0,12.2863,0.2863,False
TCS,compounded_profit_growth,5,8.0,7.8712,0.1288,False
TCS,compounded_profit_growth,10,9.0,9.0791,0.0791,False
TCS,compounded_sales_growth,3,14.0,13.6329,0.3671,False
TCS,compounded_sales_growth,5,10.0,10.4636,0.4636,False
TCS,compounded_sales_growth,10,11.0,11.4044,0.4044,False
TCS,roe,3,47.0,,,False
TCS,roe,5,44.0,,,False
TCS,roe,10,40.0,,,False
TCS,stock_price_cagr,1,16.0,,,False
TCS,stock_price_cagr,3,8.0,,,False
TCS,stock_price_cagr,5,16.0,,,False
TCS,stock_price_cagr,10,14.0,,,False
WIPRO,compounded_profit_growth,3,0.0,,,False
WIPRO,compounded_profit_growth,5,4.0,,,False
WIPRO,compounded_profit_growth,10,3.0,,,False
WIPRO,compounded_sales_growth,3,13.0,,,False
WIPRO,compounded_sales_growth,5,9.0,,,False
WIPRO,compounded_sales_growth,10,8.0,,,False
WIPRO,roe,3,17.0,,,False
WIPRO,roe,5,17.0,,,False
WIPRO,roe,10,18.0,,,False
WIPRO,stock_price_cagr,1,39.0,,,False
WIPRO,stock_price_cagr,5,20.0,,,False
WIPRO,stock_price_cagr,10,12.0,,,False
