company_id,ticker,company_name,previous_year,current_year,previous_pattern,current_pattern,change_description
ABB,ABB,Abbott India Ltd,2016,2017,Reinvestor,Shareholder Returns,Moved from Reinvestor to Shareholder Returns
ABB,ABB,Abbott India Ltd,2017,2018,Shareholder Returns,Reinvestor,Moved from Shareholder Returns to Reinvestor
ABB,ABB,Abbott India Ltd,2018,2019,Reinvestor,Shareholder Returns,Moved from Reinvestor to Shareholder Returns
ABB,ABB,Abbott India Ltd,2022,2023,Shareholder Returns,Reinvestor,Moved from Shareholder Returns to Reinvestor
ABB,ABB,Abbott India Ltd,2023,2024,Reinvestor,Shareholder Returns,Moved from Reinvestor to Shareholder Returns
ADANIENSOL,ADANIENSOL,Adani Energy Solutions Ltd,2014,2015,Cash Accumulator,Growth Funded by Debt,Moved from Cash Accumulator to Growth Funded by Debt
ADANIENSOL,ADANIENSOL,Adani Energy Solutions Ltd,2015,2016,Growth Funded by Debt,Shareholder Returns,Moved from Growth Funded by Debt to Shareholder Returns
ADANIENSOL,ADANIENSOL,Adani Energy Solutions Ltd,2017,2018,Shareholder Returns,Mixed,Moved from Shareholder Returns to Mixed
ADANIENSOL,ADANIENSOL,Adani Energy Solutions Ltd,2020,2021,Mixed,Shareholder Returns,Moved from Mixed to Shareholder Returns
ADANIENSOL,ADANIENSOL,Adani Energy Solutions Ltd,2022,2023,Shareholder Returns,Mixed,Moved from Shareholder Returns to Mixed
ADANIENSOL,ADANIENSOL,Adani Energy Solutions Ltd,2023,2024,Mixed,Shareholder Returns,Moved from Mixed to Shareholder Returns
ADANIENT,ADANIENT,Adani Enterprises Ltd,2013,2014,Mixed,Shareholder Returns,Moved from Mixed to Shareholder Returns
ADANIENT,ADANIENT,Adani Enterprises Ltd,2014,2015,Shareholder Returns,Mixed,Moved from Shareholder Returns to Mixed
ADANIENT,ADANIENT,Adani Enterprises Ltd,2015,2016,Mixed,Shareholder Returns,Moved from Mixed to Shareholder Returns
ADANIENT,ADANIENT,Adani Enterprises Ltd,2016,2017,Shareholder Returns,Mixed,Moved from Shareholder Returns to Mixed
