company_id=ADANIENSOL | year=2024 | metric=OPM | computed=34.3891 | source=30.0000 | difference=4.3891 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=AXISBANK | year=2013 | metric=OPM | computed=30.5816 | source=1353.0000 | difference=1322.4184 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=AXISBANK | year=2014 | metric=OPM | computed=31.4742 | source=2307.0000 | difference=2275.5258 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=AXISBANK | year=2015 | metric=OPM | computed=31.3622 | source=3097.0000 | difference=3065.6378 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=AXISBANK | year=2016 | metric=OPM | computed=32.6120 | source=3466.0000 | difference=3433.3880 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=AXISBANK | year=2017 | metric=OPM | computed=53.4507 | source=-5715.0000 | difference=5768.4507 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=AXISBANK | year=2018 | metric=OPM | computed=63.1171 | source=-10277.0000 | difference=10340.1171 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=AXISBANK | year=2019 | metric=OPM | computed=49.3853 | source=-5447.0000 | difference=5496.3853 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=AXISBANK | year=2020 | metric=OPM | computed=55.9847 | source=-9859.0000 | difference=9914.9847 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=AXISBANK | year=2021 | metric=OPM | computed=50.1200 | source=-2510.0000 | difference=2560.1200 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=AXISBANK | year=2022 | metric=OPM | computed=44.4692 | source=3170.0000 | difference=3125.5308 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=AXISBANK | year=2023 | metric=OPM | computed=34.1565 | source=13857.0000 | difference=13822.8435 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=AXISBANK | year=2024 | metric=OPM | computed=34.6926 | source=11952.0000 | difference=11917.3074 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=BAJFINANCE | year=2015 | metric=OPM | computed=32.4926 | source=1367.0000 | difference=1334.5074 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=BAJFINANCE | year=2016 | metric=OPM | computed=32.2510 | source=1986.0000 | difference=1953.7490 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=BAJFINANCE | year=2017 | metric=OPM | computed=32.5978 | source=2867.0000 | difference=2834.4022 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=BAJFINANCE | year=2018 | metric=OPM | computed=32.2846 | source=3935.0000 | difference=3902.7154 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=BAJFINANCE | year=2019 | metric=OPM | computed=29.5018 | source=6310.0000 | difference=6280.4982 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=BAJFINANCE | year=2020 | metric=OPM | computed=34.7274 | source=7608.0000 | difference=7573.2726 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=BAJFINANCE | year=2021 | metric=OPM | computed=40.6366 | source=6314.0000 | difference=6273.3634 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=BAJFINANCE | year=2022 | metric=OPM | computed=37.5462 | source=9906.0000 | difference=9868.4538 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=BAJFINANCE | year=2023 | metric=OPM | computed=30.6513 | source=16018.0000 | difference=15987.3487 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=BAJFINANCE | year=2024 | metric=OPM | computed=29.2858 | source=19987.0000 | difference=19957.7142 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=BANKBARODA | year=2013 | metric=OPM | computed=30.0477 | source=1006.0000 | difference=975.9523 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=BANKBARODA | year=2014 | metric=OPM | computed=29.7778 | source=809.0000 | difference=779.2222 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=BANKBARODA | year=2015 | metric=OPM | computed=29.9811 | source=902.0000 | difference=872.0189 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=BANKBARODA | year=2016 | metric=OPM | computed=55.4401 | source=-11700.0000 | difference=11755.4401 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=BANKBARODA | year=2017 | metric=OPM | computed=43.2847 | source=-4372.0000 | difference=4415.2847 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=BANKBARODA | year=2018 | metric=OPM | computed=56.6549 | source=-9197.0000 | difference=9253.6549 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=BANKBARODA | year=2019 | metric=OPM | computed=48.7941 | source=-5414.0000 | difference=5462.7941 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=BANKBARODA | year=2020 | metric=OPM | computed=51.4393 | source=-11728.0000 | difference=11779.4393 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=BANKBARODA | year=2021 | metric=OPM | computed=51.2286 | source=-6957.0000 | difference=7008.2286 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=BANKBARODA | year=2022 | metric=OPM | computed=51.1249 | source=-2948.0000 | difference=2999.1249 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=BANKBARODA | year=2023 | metric=OPM | computed=40.4548 | source=6329.0000 | difference=6288.5452 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=BANKBARODA | year=2024 | metric=OPM | computed=37.4889 | source=4102.0000 | difference=4064.5111 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CANBK | year=2013 | metric=OPM | computed=21.1829 | source=655.0000 | difference=633.8171 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CANBK | year=2014 | metric=OPM | computed=24.3518 | source=-672.0000 | difference=696.3518 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CANBK | year=2015 | metric=OPM | computed=23.5136 | source=-621.0000 | difference=644.5136 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CANBK | year=2016 | metric=OPM | computed=40.3847 | source=-8008.0000 | difference=8048.3847 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CANBK | year=2017 | metric=OPM | computed=37.8489 | source=-5775.0000 | difference=5812.8489 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CANBK | year=2018 | metric=OPM | computed=61.8745 | source=-13350.0000 | difference=13411.8745 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CANBK | year=2019 | metric=OPM | computed=56.7287 | source=-11590.0000 | difference=11646.7287 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CANBK | year=2020 | metric=OPM | computed=53.8777 | source=-12867.0000 | difference=12920.8777 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CANBK | year=2021 | metric=OPM | computed=61.8294 | source=-18367.0000 | difference=18428.8294 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CANBK | year=2022 | metric=OPM | computed=58.3949 | source=-13657.0000 | difference=13715.3949 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CANBK | year=2023 | metric=OPM | computed=49.8015 | source=-9877.0000 | difference=9926.8015 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CANBK | year=2024 | metric=OPM | computed=41.7539 | source=-7745.0000 | difference=7786.7539 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CHOLAFIN | year=2013 | metric=OPM | computed=26.7704 | source=472.0000 | difference=445.2296 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CHOLAFIN | year=2014 | metric=OPM | computed=28.4233 | source=578.0000 | difference=549.5767 | category=formula discrepancy | explanation=OPM difference exceeds 1%
