table,row_index,severity,reason,source_file
profitandloss,12,CRITICAL,"Null primary key value: ['company_id', 'year']",profitandloss.xlsx
profitandloss,24,CRITICAL,"Null primary key value: ['company_id', 'year']",profitandloss.xlsx
profitandloss,37,CRITICAL,"Null primary key value: ['company_id', 'year']",profitandloss.xlsx
profitandloss,46,CRITICAL,"Null primary key value: ['company_id', 'year']",profitandloss.xlsx
profitandloss,59,CRITICAL,"Null primary key value: ['company_id', 'year']",profitandloss.xlsx
profitandloss,60,CRITICAL,"Duplicate primary key value: ['company_id', 'year']",profitandloss.xlsx
profitandloss,61,CRITICAL,"Duplicate primary key value: ['company_id', 'year']",profitandloss.xlsx
profitandloss,62,CRITICAL,"Duplicate primary key value: ['company_id', 'year']",profitandloss.xlsx
profitandloss,63,CRITICAL,"Duplicate primary key value: ['company_id', 'year']",profitandloss.xlsx
profitandloss,64,CRITICAL,"Duplicate primary key value: ['company_id', 'year']",profitandloss.xlsx
profitandloss,65,CRITICAL,"Duplicate primary key value: ['company_id', 'year']",profitandloss.xlsx
profitandloss,66,CRITICAL,"Duplicate primary key value: ['company_id', 'year']",profitandloss.xlsx
profitandloss,67,CRITICAL,"Duplicate primary key value: ['company_id', 'year']",profitandloss.xlsx
profitandloss,68,CRITICAL,"Duplicate primary key value: ['company_id', 'year']",profitandloss.xlsx
profitandloss,69,CRITICAL,"Duplicate primary key value: ['company_id', 'year']",profitandloss.xlsx
profitandloss,70,CRITICAL,"Duplicate primary key value: ['company_id', 'year']",profitandloss.xlsx
profitandloss,71,CRITICAL,"Duplicate primary key value: ['company_id', 'year']",profitandloss.xlsx
profitandloss,72,CRITICAL,"Null primary key value: ['company_id', 'year']",profitandloss.xlsx
profitandloss,85,CRITICAL,"Null primary key value: ['company_id', 'year']",profitandloss.xlsx
profitandloss,96,CRITICAL,"Null primary key value: ['company_id', 'year']",profitandloss.xlsx
profitandloss,98,CRITICAL,"Null primary key value: ['company_id', 'year']",profitandloss.xlsx
profitandloss,111,CRITICAL,"Null primary key value: ['company_id', 'year']",profitandloss.xlsx
profitandloss,124,CRITICAL,"Null primary key value: ['company_id', 'year']",profitandloss.xlsx
profitandloss,132,CRITICAL,"Null primary key value: ['company_id', 'year']",profitandloss.xlsx
profitandloss,145,CRITICAL,"Null primary key value: ['company_id', 'year']",profitandloss.xlsx
profitandloss,158,CRITICAL,"Null primary key value: ['company_id', 'year']",profitandloss.xlsx
profitandloss,171,CRITICAL,"Null primary key value: ['company_id', 'year']",profitandloss.xlsx
profitandloss,184,CRITICAL,"Null primary key value: ['company_id', 'year']",profitandloss.xlsx
profitandloss,195,CRITICAL,"Null primary key value: ['company_id', 'year']",profitandloss.xlsx
