company_id,company_name,year,broad_sector,return_on_equity_pct,debt_to_equity
BEL,Bharat Electronics Ltd,2024,Industrials,4744.047619047619,0.5119047619047619
HAL,Hindustan Aeronautics Ltd,2024,Industrials,3816.5829145728644,0.6180904522613065
INDIGO,Interglobe Aviation Ltd,2024,Consumer Discretionary,892.568306010929,0.018579234972677595
NESTLEIND,Nestle India Ltd,2024,Consumer Staples,117.75449101796407,0.10329341317365269
LT,Larsen & Toubro Ltd,2024,Industrials,77.66510140873214,0.10345688880007993
BRITANNIA,Britannia Industries Ltd,2024,Consumer Staples,54.14869322506978,0.5239786856127886
TCS,Tata Consultancy Services Ltd,2024,Information Technology,50.944313673485176,0.0886406082507266
LICI,Life Insurance Corporation of India,2024,Financials,49.44710986501021,0.0
ADANIPOWER,Adani Power Ltd,2024,Energy,48.27674122146251,0.8023177656738903
COALINDIA,Coal India Ltd,2024,Materials,45.16982956605826,0.0788468512027076
TRENT,Trent Ltd,2024,Consumer Discretionary,36.30776794493609,0.4309242871189774
BPCL,Bharat Petroleum Corporation Ltd,2024,Energy,35.511337343822305,0.7218747934157467
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,2024,Consumer Discretionary,34.39628482972136,0.018575851393188854
ABB,Abbott India Ltd,2024,Industrials,32.46823465801568,0.022438496891051634
INFY,Infosys Ltd,2024,Information Technology,29.788006718416632,0.09486358890553362
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",2024,Materials,29.677488252883382,0.1321016659547202
ITC,"ITC Ltd
",2024,Consumer Staples,27.851074395694365,0.004066731984914169
BAJAJ-AUTO,Bajaj Auto Ltd,2024,Consumer Discretionary,26.61418410330778,0.06601754022512257
TORNTPHARM,Torrent Pharmaceuticals Ltd,2024,Healthcare,24.154025670945156,0.5866394399066511
IOC,"Indian Oil Corporation
",2024,Energy,23.53162465856491,0.7230954600718581
HCLTECH,HCL Technologies Ltd,2024,Information Technology,23.01393141233172,0.08435023365512796
LTIM,LTIMindtree Ltd,2024,Information Technology,22.904386052552702,0.10345688880007993
EICHERMOT,Eicher Motors Ltd,2024,Consumer Discretionary,22.172346910501524,0.023219728456636186
HEROMOTOCO,"Hero MotoCorp Ltd
",2024,Consumer Discretionary,21.14243742584327,0.03423922255494661
PIDILITIND,Pidilite Industries Ltd,2024,Materials,20.780302129178065,0.045438325205186154
BOSCHLTD,Bosch Ltd,2024,Consumer Discretionary,20.639920424403183,0.003232758620689655
HINDUNILVR,"Hindustan Unilever Ltd
",2024,Consumer Staples,20.074973642078955,0.028974188761763442
DRREDDY,Dr Reddys Laboratories Ltd,2024,Healthcare,19.74233736816026,0.07085722375592836
ATGL,Adani Total Gas Ltd,2024,Energy,18.65921787709497,0.43491620111731844
DABUR,Dabur India Ltd,2024,Consumer Staples,18.355969997972835,0.13835394283397526
SIEMENS,Siemens Ltd,2024,Industrials,17.698769290877124,0.018167610861496385
HAVELLS,Havells India Ltd,2024,Industrials,17.067275412917954,0.040687525177924
ONGC,Oil & Natural Gas Corpn Ltd,2024,Energy,16.940398136885513,0.45444863084819176
MARUTI,Maruti Suzuki India Ltd,2024,Consumer Discretionary,15.750385351954785,0.001389602503619973
ICICIGI,ICICI Lombard General Insurance Company Ltd,2024,Financials,15.7230643179025,0.0028676771814829987
CIPLA,"Cipla Ltd
",2024,Healthcare,15.554557028383135,0.020931625851868495
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",2024,Industrials,15.3548827162833,0.9373223691689719
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,2024,Healthcare,15.094161810671148,0.051423814535002436
